chunk_id,source,page,chunk_length,chunk_text
10,WhizAaru_1_part (1).pdf,7,366,"Guidelines  Ensure the intended path is clear  Monitor movement continuously  Stop operation immediately if unsafe conditions arise 9. Movement and Navigation Behavior  Designed for smooth indoor movement  Low-speed motion appropriate for shared spaces  Predictable stopping and turning behavior The robot is not designed for stairs, ramps, or uneven surfaces."
11,WhizAaru_1_part (1).pdf,8,718,"Whizrobo – 4th Generation Self-learning Platform 10. Display and Audio Controls WhizAaru™ provides adjustable controls for:  Screen brightness  Audio volume  Audio muting when required These controls allow the robot to adapt to different lighting and noise conditions. 11. Safety Guidelines 11.1 General Safety  Indoor use only  Keep away from liquids and heat sources  Do not sit, lean, or place objects on the robot 11.2 Child Safety  Adult supervision is required  Do not allow climbing or physical interference  Encourage gentle interaction at all times 11.3 Electrical Safety  Use approved power accessories  Disconnect power before cleaning  Do not operate with damaged cables 11.4 Operational Safety"
12,WhizAaru_1_part (1).pdf,9,799,"Whizrobo – 4th Generation Self-learning Platform  Maintain clear space during movement and performance modes  Stop operation if abnormal behavior is observed  Do not attempt to modify or override system behavior 12. Maintenance and Care 12.1 Cleaning  Use a soft, dry cloth  Do not use liquid cleaners or sprays 12.2 Routine Inspection  Inspect for visible damage  Ensure cables and connectors are secure  Power off the robot when not in use 13. Noise and Environmental Considerations  Designed for quiet indoor operation  Audio levels adjustable for comfort  Movement noise remains within typical indoor limits 14. Operational Limitations WhizAaru™ is designed for structured indoor environments and does not operate independently in unstructured or unpredictable conditions. Performance"
13,WhizAaru_1_part (1).pdf,9,328,"indoor environments and does not operate independently in unstructured or unpredictable conditions. Performance may vary depending on environment, content, and user interaction. 15. Storage and Handling  Power off before relocation  Move the robot carefully with assistance  Store in a dry, temperature-controlled environment"
14,WhizAaru_1_part (1).pdf,10,799,"Whizrobo – 4th Generation Self-learning Platform 16. Basic Specifications General  Robot Type: Indoor interactive service robot  Primary Applications: Greeting, guided interaction, learning engagement, multimedia presentation Physical Characteristics  Overall Height: Approximately 80–90 cm  Base Design: Compact indoor base  Approximate Weight: 18–22 kg  Exterior Construction: Enclosed, impact-resistant housing Display and Interaction  Display Type: Integrated touch-enabled display  Display Size: Approximately 10 inches  Interaction Methods: Touch, voice, visual prompts Audio and Visual System  Camera: Integrated front-facing camera  Microphones: Built-in microphone array  Speakers: Integrated speakers for voice and multimedia Mobility and Motion  Movement Type: Wheeled indoor"
15,WhizAaru_1_part (1).pdf,10,254,"array  Speakers: Integrated speakers for voice and multimedia Mobility and Motion  Movement Type: Wheeled indoor mobility  Operating Speed: Low-speed, human-safe motion  Supported Modes: Stationary interaction, assisted movement, performance movement"
16,WhizAaru_1_part (1).pdf,11,716,"Whizrobo – 4th Generation Self-learning Platform Sensors  Human Presence Detection: Supported  Proximity Awareness: Supported Power  Power Source: External power supply  Operating Duration: Continuous operation while connected to power Environmental Requirements  Operating Environment: Indoor only  Flooring: Flat and stable  Temperature: Normal indoor room temperature  Humidity: Dry, non-condensing environment 17. Conclusion WhizAaru™ delivers reliable interactive experiences through controlled movement, intuitive interaction, and structured functionality. Proper placement, supervision, and maintenance ensure consistent performance and long -term usability across a wide range of indoor applications."
17,WhizBot_Software_Guide .pdf,1,182,WhizBot -User Operations Manual Product Name: WhizBot™ Product Category: Compact AI Service Robot Software Stack: WhizApp™ & WhizGreet™ All Rights Reserved by WHIZROBO PRIVATE LTD. 1
18,WhizBot_Software_Guide .pdf,2,795,Table of Contents 1. Software Overview 2. User Roles & Access Levels 3. Home Screen & Navigation 4. Application Overview & Functionality 4.1 Reception & Engagement Applications 4.2 Media & Content Applications 4.3 System & Utility Applications 4.4 Learning & Education Applications 4.5 Presentation & Demonstration Applications 4.6 Activity & Performance Applications 5. Learning & Interaction Capabilities 6. Multilingual Support 7. Content & Lesson Management 8. Reception & Greeting Capabilities 9. Media & Engagement Features 10. Voice Interaction Capabilities 11. Desktop Customization & Personalization 12. Software Updates & Connectivity Notes 13. Dance & Performance Application 14. Wander Application 15. Software Limitations & Best Practices 16. Reference to Other Documents All Rights
19,WhizBot_Software_Guide .pdf,2,144,14. Wander Application 15. Software Limitations & Best Practices 16. Reference to Other Documents All Rights Reserved by WHIZROBO PRIVATE LTD. 2
20,WhizBot_Software_Guide .pdf,3,793,"1. Software Overview WhizBot operates on an integrated software platform designed to support learning, interaction, engagement, and assisted guidance in indoor environments. The software enables users to interact with WhizBot through voice and touch, manage learning content, deliver multimedia experiences, and configure system behavior based on deployment needs. This guide explains the available software applications and capabilities available on WhizBot. 2. User Roles & Access Levels WhizBot supports multiple user roles to ensure appropriate access and safe usage. ● General Users: Can interact with learning content, ask questions, and participate in activities. ● Operators: Can launch applications, manage content, and control engagement modes. ● Administrators: Can configure system"
21,WhizBot_Software_Guide .pdf,3,587,"Can launch applications, manage content, and control engagement modes. ● Administrators: Can configure system settings, manage connectivity, and control access permissions. Some applications and settings may be restricted based on user role. 3. Home Screen & Navigation The Home Screen serves as the main interface for accessing WhizBot’s software features. From the Home Screen, users can: ● Launch applications ● Access learning and engagement modes ● Navigate using touch gestures ● Return to the previous screen using on-screen controls All Rights Reserved by WHIZROBO PRIVATE LTD. 3"
22,WhizBot_Software_Guide .pdf,4,767,"The interface is designed to be simple and intuitive for users of all age groups. 4. Application Overview & Functionality WhizBot includes a set of built-in applications designed to support learning, reception, engagement, and system operation. The availability of applications may vary based on configuration and deployment. 4.1 Reception & Engagement Applications Reception Application Enables WhizBot to function as a smart reception assistant in public-facing environments. Supported features include: ● Greeting visitors ● Displaying welcome messages ● Providing basic guidance or information ● Optional personalized interaction when enabled This application is suitable for entrances, lobbies, and reception areas. All Rights Reserved by WHIZROBO PRIVATE LTD. 4"
23,WhizBot_Software_Guide .pdf,5,696,"4.2 Media & Content Applications Media Player Supports playback of approved multimedia content ● Videos ● Images ● Audio files Media playback is commonly used for learning sessions, announcements, and presentations. Content Manager Allows authorized users to manage locally available learning and media content. Capabilities include: ● Organizing content ● Loading approved content for sessions ● Managing presentation materials 4.3 System & Utility Applications System Settings Provides access to essential system configuration options, including: ● Network connectivity ● Audio and display preferences ● Language selection ● Power-related behavior All Rights Reserved by WHIZROBO PRIVATE LTD. 5"
24,WhizBot_Software_Guide .pdf,6,799,"System settings are typically managed by administrators or authorized users. Device Management Tools Support basic system monitoring and update-related actions. Some system-level applications may be restricted based on access level. 5. Learning & Interaction Capabilities(Ren.AI) WhizBot supports interactive learning through a combination of voice interaction and touch-based input. Users can: ● Ask questions naturally ● Receive spoken and visual explanations ● Follow guided learning activities Learning behavior may adapt based on selected language and context. 6. Whizflix (Multilingual Learning & Interaction) Whizflix is a multilingual, AI-enabled learning application designed to support interactive education and guided learning on Whizflix. Whizflix supports multiple languages, including:"
25,WhizBot_Software_Guide .pdf,6,179,"to support interactive education and guided learning on Whizflix. Whizflix supports multiple languages, including: ● Hindi ● English All Rights Reserved by WHIZROBO PRIVATE LTD. 6"
26,WhizBot_Software_Guide .pdf,7,797,"● Gujarati ● Tamil ● Marathi Through voice and touch interaction, Whizflix allows users to: ● Ask questions and receive clear, age-appropriate explanations ● Access structured learning content across academic and skill-based topics ● Interact with lessons designed for classroom and guided learning use Whizflix includes learning modules and courses that integrate robotics concepts and hands-on activities using compatible robotics kits. These courses are supported by an integrated learning management system (LMS) that enables organized content delivery and structured progression. WhizApp is suitable for: ● Schools and educational institutions ● Learning labs and innovation centers ● Guided learning and demonstration environments Content can be tailored to different age groups and learning"
27,WhizBot_Software_Guide .pdf,7,176,centers ● Guided learning and demonstration environments Content can be tailored to different age groups and learning objectives. All Rights Reserved by WHIZROBO PRIVATE LTD. 7
28,WhizBot_Software_Guide .pdf,8,795,"7. WhizGreet (Smart Greeting) WhizGreet allows WhizBot to function as a friendly greeting assistant. Functions include: ● Welcoming visitors when they approach ● Displaying greeting messages or visuals ● Providing spoken prompts or basic guidance ● Optional recognition-based personalization (if enabled) WhizGreet is ideal for entrances, reception areas, and public-facing locations. 9. Desktop Management Application The Desktop Management application allows authorized users to customize the WhizBot home screen for easier access to commonly used features. Using this application, users can: ● Set or change the desktop background image ● Select preferred applications for quick access ● Arrange shortcut icons on the home screen ● Preview layout changes before saving Supported customization"
29,WhizBot_Software_Guide .pdf,8,448,"quick access ● Arrange shortcut icons on the home screen ● Preview layout changes before saving Supported customization options include: ● Uploading compatible background images ● Assigning frequently used applications to shortcut slots ● Managing icon appearance and placement This application helps adapt the interface for different environments such as classrooms, reception areas, or event setups. All Rights Reserved by WHIZROBO PRIVATE LTD. 8"
30,WhizBot_Software_Guide .pdf,9,659,"10. Projector The Projector application enables WhizBot to display visual content on external surfaces for learning, presentations, and demonstrations. Using this application, users can: ● Activate and control the built-in projection function ● Adjust image alignment and orientation ● Configure display settings for optimal viewing ● Automatically start projection when playing compatible media Supported features include: ● Keystone correction for image alignment ● Image adjustment options for brightness and clarity ● Mirror and orientation control ● Automatic projection during media playback (when enabled) All Rights Reserved by WHIZROBO PRIVATE LTD. 9"
31,WhizBot_Software_Guide .pdf,10,329,11. Software Updates & Connectivity Notes Software updates may be provided periodically to improve performance and add new features. Best practices include: ● Maintaining a stable Wi-Fi connection ● Installing updates when prompted ● Restarting the system after updates if required All Rights Reserved by WHIZROBO PRIVATE LTD. 10
32,WhizBot_Software_Guide .pdf,11,794,"12 Product Introduction Application The Product Introduction application enables WhizBot to deliver structured presentations and guided demonstrations about products, services, or learning topics. Using this application, users can: ● Display pre-configured presentation content ● Navigate between different presentation sections ● Play demonstration materials and visual explanations ● Use voice interaction to initiate or control presentation flow Supported content types may include: ● Slide-based presentations ● Demonstration videos ● Product or topic overview modules ● Interactive visual segments This application is commonly used for: ● Company and institutional presentations ● Product showcases ● Classroom demonstrations ● Exhibition and event displays All Rights Reserved by WHIZROBO"
33,WhizBot_Software_Guide .pdf,11,126,● Product showcases ● Classroom demonstrations ● Exhibition and event displays All Rights Reserved by WHIZROBO PRIVATE LTD. 11
34,WhizBot_Software_Guide .pdf,12,794,"13. Dance & Performance Application The Dance & Performance application enables WhizBot to perform coordinated movement routines for entertainment, engagement, and demonstrations. Using this application, users can: ● Select from pre-installed performance routines ● Create or customize movement sequences ● Combine movements with music or audio playback ● Preview routines before execution Supported features may include: ● Individual movement actions ● Predefined dance sequences ● Gesture and posture coordination ● Timing and rhythm control This application is commonly used for: ● School events and celebrations ● Classroom engagement activities ● Exhibitions and demonstrations ● Interactive entertainment sessions Safety Note: Ensure sufficient open space around WhizBot before starting a"
35,WhizBot_Software_Guide .pdf,12,172,● Interactive entertainment sessions Safety Note: Ensure sufficient open space around WhizBot before starting a performance. All Rights Reserved by WHIZROBO PRIVATE LTD. 12
36,WhizBot_Software_Guide .pdf,13,799,"14. Wander (Autonomous Movement) Application The Wander application enables WhizBot to move autonomously within indoor areas while safely avoiding obstacles and interacting with its surroundings. Using this application, users can: ● Activate automatic roaming mode ● Allow WhizBot to navigate freely in open spaces ● Record video using the built-in camera during movement ● Enable or disable activity recording options Supported features include: ● Obstacle-aware navigation ● Safe speed control ● Automatic direction adjustment ● Video recording during roaming (when enabled) This application is commonly used for: ● Autonomous demonstrations ● Environment engagement ● Activity monitoring in supervised spaces Safety Note: Ensure the operating area is clear before enabling Wander mode. All Rights"
37,WhizBot_Software_Guide .pdf,13,156,monitoring in supervised spaces Safety Note: Ensure the operating area is clear before enabling Wander mode. All Rights Reserved by WHIZROBO PRIVATE LTD. 13
38,WhizBot_Software_Guide .pdf,14,529,15. Software Limitations & Best Practices ● Feature availability may vary by configuration ● Stable internet connectivity improves performance ● Voice interaction works best in moderate-noise environments ● Some applications may be restricted to authorized users 16. Reference to Other Documents For additional information: ● Refer to the Startup Guide & Use Cases for first-time setup and basic usage ● Refer to the Technical Specification for system capabilities and requirements All Rights Reserved by WHIZROBO PRIVATE LTD. 14
39,WhizBot_Startup_Guide .pdf,1,178,WhizBot -User Startup Guide Product Name: WhizBot™ Product Category: Compact AI Service Robot Software Stack: WhizApp™ & WhizGreet™ All Rights Reserved by WHIZROBO PRIVATE LTD. 1
40,WhizBot_Startup_Guide .pdf,2,443,Table of Contents Table of Contents 1. Welcome 2. What’s in the Box 3. Placement & Environment Setup 4. Powering On & Charging 5. First-Time Setup 6. Basic Navigation 7. Ways to Interact with WhizBot 8. Common Use Cases ○ Classroom & Learning Support ○ Reception & Welcome ○ Events & Demonstrations 9. Safety Basics (Do’s & Don’ts) 10. Basic Maintenance 11. Quick Start Checklist 12. What’s Next? All Rights Reserved by WHIZROBO PRIVATE LTD. 2
41,WhizBot_Startup_Guide .pdf,3,604,"1. Welcome Welcome to WhizBot™. WhizBot is designed to support learning, interaction, and guided assistance in indoor environments such as schools, learning labs, offices, and public spaces. This guide will help you set up WhizBot and start using it confidently. No technical knowledge is required to get started. 2. What’s in the Box Before starting, ensure the following items are included: ● WhizBot™ robot unit ● Charging dock ● Power adapter and cable ● Basic documentation If any item is missing or damaged, contact WHIZROBO support before proceeding. All Rights Reserved by WHIZROBO PRIVATE LTD. 3"
42,WhizBot_Startup_Guide .pdf,4,412,"3. Placement & Environment Setup Choose a suitable location before powering on WhizBot: ● Indoor use only ● Flat, stable flooring ● Adequate lighting ● Access to a Wi-Fi network ● Clear space around the robot for safe movement Place the charging dock against a wall and connect it to a power source. [Image: WhizBot placed indoors near a wall-mounted charging dock] All Rights Reserved by WHIZROBO PRIVATE LTD. 4"
43,WhizBot_Startup_Guide .pdf,5,409,4. Powering On & Charging Powering On ● Ensure WhizBot is sufficiently charged or connected to power. ● Press and hold the power button until the screen turns on. ● Allow the system to complete its startup process. Charging ● WhizBot supports dock-based charging. ● Guide the robot to the charging dock when needed. ● Charging status will be shown on the screen. All Rights Reserved by WHIZROBO PRIVATE LTD. 5
44,WhizBot_Startup_Guide .pdf,6,246,"5. First-Time Setup When WhizBot starts for the first time, follow the on-screen setup steps: 1. Select the preferred system language 2. Connect to a Wi-Fi network Go to Setting open Wifi and connect All Rights Reserved by WHIZROBO PRIVATE LTD. 6"
45,WhizBot_Startup_Guide .pdf,7,429,"3. Review and accept service terms 4. Complete the setup process Once setup is complete, WhizBot will display the home screen. 6. Basic Navigation WhizBot uses a simple touch-based interface: ● Tap on icons to open features ● Swipe to navigate between screens ● Use on-screen controls to adjust volume and brightness The home screen provides quick access to commonly used functions. All Rights Reserved by WHIZROBO PRIVATE LTD. 7"
46,WhizBot_Startup_Guide .pdf,8,755,"7. Ways to Interact with WhizBot WhizBot supports multiple interaction methods: Touch Interaction Use the touch screen to explore content, select options, and guide activities. Voice Interaction Activate voice interaction and speak naturally to ask questions or give simple commands. 8. Common Use Cases Classroom & Learning Support ● Answer student questions ● Display learning content ● Support interactive lessons [Image: WhizBot in a classroom with students] Reception & Welcome ● Greet visitors ● Display welcome messages ● Provide basic guidance [Image: WhizBot at a school or office entrance] Events & Demonstrations ● Play videos or music ● Perform movement routines ● Engage audiences in open spaces All Rights Reserved by WHIZROBO PRIVATE LTD. 8"
47,WhizBot_Startup_Guide .pdf,9,514,[Image: WhizBot in an open hall / event space] 9. Safety Basics (Do’s & Don’ts) Do ● Use WhizBot on flat indoor surfaces ● Keep a clear space around the robot ● Supervise use around children Don’t ● Force moving parts ● Block the robot’s movement ● Expose the robot or dock to water or spills 10. Basic Maintenance ● Charge WhizBot daily for consistent availability ● Clean the screen and exterior using a dry microfiber cloth ● Install software updates when prompted All Rights Reserved by WHIZROBO PRIVATE LTD. 9
48,WhizBot_Startup_Guide .pdf,10,603,"For long-term storage, fully charge the robot and power it off. 11. Quick Start Checklist Use this checklist to get started quickly: ● Unbox WhizBot and accessories ● Place and connect the charging dock ● Power on the robot ● Complete first-time setup ● Test touch and voice interaction You are now ready to use WhizBot. [Image: Checklist or minimal icon-based visual] 12. What’s Next? To learn more: ● Refer to the Software Guide for feature details ● Refer to the Technical Specification for system information For support, contact WHIZROBO Private Ltd. All Rights Reserved by WHIZROBO PRIVATE LTD. 10"
49,WhizBot_Technical_Specification  .pdf,1,145,WhizBot -Technical Specification Product Name: WhizBot™ Product Category: Compact AI Service Robot All Rights Reserved by WHIZROBO PRIVATE LTD. 1
50,WhizBot_Technical_Specification  .pdf,2,490,Table of Contents 1. Introduction 2. Product Classification 3. Physical Characteristics 4. Human Interaction Interface 5. Audio & Visual Capabilities 6. Mobility & Navigation 7. Power & Charging 8. Connectivity & Interfaces 9. Software Platform Overview 10. Performance Characteristics 11. Environmental Requirements 12. Safety & Operational Limitations 13. Data & Privacy Considerations 14. Maintenance & Lifecycle Expectations 15. Disclaimer All Rights Reserved by WHIZROBO PRIVATE LTD. 2
51,WhizBot_Technical_Specification  .pdf,3,798,"1. Introduction WhizBot™ is a compact AI-enabled service robot designed for indoor learning, interaction, and guided assistance. It combines autonomous mobility, voice interaction, and a touch-based interface to support educational, reception, and engagement use cases in supervised environments. This document provides a technical overview of WhizBot’s capabilities, requirements, and operational boundaries. It is intended for procurement teams, IT administrators, and technical evaluators. 2. Product Classification ● Product Type: Compact AI Service Robot ● Primary Functions: ○ Learning assistance ○ Smart reception and guided interaction ○ Multimedia engagement ● Intended Environment: Indoor, controlled spaces ● Target Deployments: ○ Schools and educational institutions ○ Learning labs and"
52,WhizBot_Technical_Specification  .pdf,3,371,"Environment: Indoor, controlled spaces ● Target Deployments: ○ Schools and educational institutions ○ Learning labs and innovation centers ○ Offices and public-facing indoor areas 3. Physical Characteristics All Rights Reserved by WHIZROBO PRIVATE LTD. 3 Parameter Specification Form Factor Compact mobile robot Height Approximately 75-85 cm Weight Approximately 10-12 kg"
53,WhizBot_Technical_Specification  .pdf,4,791,"All dimensions are approximate and may vary slightly based on configuration. 4. Human Interaction Interface ● Display: Integrated touch-enabled display ● Screen Size: Approximately 10-12 inches ● Interaction Modes: ○ Touch input ○ Voice interaction ○ Visual feedback via screen indicators The display acts as the primary interface for content delivery, system interaction, and user guidance. 5. Audio & Visual Capabilities ● Audio Input: Multi-directional microphones for voice interaction ● Audio Output: Integrated speakers for speech and media playback ● Camera System: Front-facing camera system supporting interaction and recognition features These capabilities enable conversational interaction, multimedia usage, and smart greeting functions. 6. Mobility & Navigation ● Movement Type:"
54,WhizBot_Technical_Specification  .pdf,4,381,"conversational interaction, multimedia usage, and smart greeting functions. 6. Mobility & Navigation ● Movement Type: Autonomous wheeled navigation ● Turning Capability: Zero-radius rotation supported ● Navigation Behavior: Obstacle-aware indoor movement All Rights Reserved by WHIZROBO PRIVATE LTD. 4 Chassis Enclosed, impact-resistant housing Mobility Wheeled autonomous movement"
55,WhizBot_Technical_Specification  .pdf,5,796,"● Recommended Surfaces: Smooth, flat indoor flooring. WhizBot operates at controlled speeds to ensure safety in shared human environments. 7. Power & Charging ● Battery Type: Rechargeable lithium-based battery ● Typical Operating Time: Up to 6-8 hours (usage dependent) ● Charging Methods: ○ Automatic dock-based charging ○ Wired charging (when required) Battery life and charging duration may vary based on usage patterns and environmental conditions. 8. Connectivity & Interfaces ● Wireless Networking: ○ Wi-Fi (2.4 GHz / 5 GHz) ● Short-Range Communication: ○ Bluetooth ● Peripheral Support: ○ USB-based external storage (supported formats only) Connectivity enables content updates, cloud-assisted features, and remote interaction. 9. Software Platform Overview WhizBot operates on an embedded"
56,WhizBot_Technical_Specification  .pdf,5,252,"updates, cloud-assisted features, and remote interaction. 9. Software Platform Overview WhizBot operates on an embedded software platform optimized for interactive robotics and assisted learning use cases. All Rights Reserved by WHIZROBO PRIVATE LTD. 5"
57,WhizBot_Technical_Specification  .pdf,6,800,"The software stack includes: ● An embedded operating system designed for stability and secure operation ● A robotics control layer responsible for motion, navigation, and interaction coordination ● An application layer supporting learning, interaction, and reception-oriented functionalities The platform supports: ● Voice-based interaction ● Touch-based user interfaces ● Multimedia content delivery ● Configurable personalization and interaction behaviors Detailed software features and user-facing functionality are documented separately in the Software Guide. 10. Performance Characteristics Parameter Typical Value System Startup Time < 2 minutes Continuous Operation 6-8 hours (usage dependent) -\Charging Time 3-4 hours Voice Interaction Range ~1-2 meters Operating Speed Safe indoor speed 11."
58,WhizBot_Technical_Specification  .pdf,6,225,(usage dependent) -\Charging Time 3-4 hours Voice Interaction Range ~1-2 meters Operating Speed Safe indoor speed 11. Environmental Requirements ● Usage Location: Indoor use only All Rights Reserved by WHIZROBO PRIVATE LTD. 6
59,WhizBot_Technical_Specification  .pdf,7,791,"● Operating Temperature: Standard room temperature ● Lighting Conditions: Adequate ambient lighting recommended ● Ambient Noise: Moderate or lower for optimal voice interaction 12. Safety & Operational Limitations ● Designed for assisted interaction and learning ● Not intended for security enforcement, surveillance, or physical intervention ● Not suitable for outdoor, industrial, or hazardous environments ● Users should not apply force to moving parts during operation ● Adult supervision recommended when used by children 13. Data & Privacy Considerations ● Personalization and recognition features are configurable ● WhizBot is not designed for covert monitoring or enforcement ● Data handling and storage depend on deployment configuration and institutional policies 14. Maintenance &"
60,WhizBot_Technical_Specification  .pdf,7,621,"enforcement ● Data handling and storage depend on deployment configuration and institutional policies 14. Maintenance & Lifecycle Expectations ● Daily charging recommended for consistent availability ● External surfaces should be cleaned using a dry microfiber cloth ● Software updates should be installed when prompted ● For extended storage, fully charge the device and power it off Proper maintenance ensures reliable performance and extended service life. 15. Disclaimer The specifications provided in this document describe general capabilities of WhizBot™ and may vary All Rights Reserved by WHIZROBO PRIVATE LTD. 7"
61,WhizBot_Technical_Specification  .pdf,8,215,"slightly based on configuration, software updates, or future hardware revisions. WHIZROBO Private Ltd. reserves the right to update specifications without prior notice. All Rights Reserved by WHIZROBO PRIVATE LTD. 8"
62,WhizBuddy_part_1.pdf,2,794,Table of Contents 1. Introduction 2. Application Scenarios 3. Operating Environment 4. Robot Overview 5. Physical Characteristics 5.1 Dimensions and Weight 5.2 Placement and Handling 6. Power and Startup 6.1 Power Supply 6.2 Startup Procedure 6.3 Shutdown Procedure 7. Interaction Methods 7.1 Touch Interaction 7.2 Voice Interaction 7.3 Visual Interaction 8. Functional Modes 8.1 Learning and Knowledge Mode 8.2 Companion Interaction Mode 8.3 Multimedia Playback Mode 8.4 Expression and Motion Mode • Operational Notes 9. Movement and Motion Behavior 10. Display and Audio Adjustment 11. Safety Guidelines 11.1 General Safety 11.2 Child Safety 11.3 Electrical Safety 11.4 Operational Safety 12. Maintenance and Care 12.1 Cleaning 12.2 Routine Care 13. Environmental and Noise Considerations 14.
